# raw_input	corrected_reading	expected_surface	edit
nihpn	にほん	日本	neighbor
niohn	にほん	日本	transposition
gakkouu	がっこう	学校	duplicate
gakkolu	がっこう	学校	neighbor
toukypu	とうきょう	東京	neighbor
shigpto	しごと	仕事	neighbor
kyouot	きょうと	京都	transposition
kaishs	かいしゃ	会社	neighbor
senseo	せんせい	先生	neighbor
gakuseo	がくせい	学生	neighbor
jikqn	じかん	時間	neighbor
denea	でんわ	電話	neighbor
tabwru	たべる	食べる	neighbor
nihn	にほん	日本	missing_vowel
kanj	かんじ	漢字	missing_vowel
densh	でんしゃ	電車	missing_vowel
keka	けっか	結果	missing_geminate
kekon	けっこん	結婚	missing_geminate
hapyou	はっぴょう	発表	missing_geminate
ipai	いっぱい	一杯	missing_geminate
paokon	ぱそこん	パソコン	missing_consonant
puoguramu	ぷろぐらむ	プログラム	missing_consonant
arigtaou	ありがとう	有難う	transposition
tenik	てんき	天気	transposition
shnibun	しんぶん	新聞	transposition
okykau	おきゃく	お客	transposition
onhaku	おんがく	音楽	neighbor
rypuri	りょうり	料理	neighbor
tomdachi	ともだち	友達	missing_vowel
byuin	びょういん	病院	missing_vowel
shshin	しゃしん	写真	missing_vowel
yasmi	やすみ	休み	missing_vowel
daigau	だいがく	大学	missing_consonant
tabeono	たべもの	食べ物	missing_consonant
noriono	のりもの	乗り物	missing_consonant
hajiete	はじめて	初めて	missing_consonant
shupatsu	しゅっぱつ	出発	missing_geminate
benkyouu	べんきょう	勉強	duplicate
kurumaa	くるま	車	duplicate
tomodachix	ともだち	友達	deletion
benkyoux	べんきょう	勉強	deletion
