# case_id	expectation	previous_reading	previous_surface	target_reading	expected_surface	competing_previous_reading	competing_previous_surface	competing_surface
writing_kanji	improve	ぶんしょう	文章	かんじ	漢字	きもち	気持ち	感じ
feeling_kanji	preserve	きもち	気持ち	かんじ	感じ	ぶんしょう	文章	漢字
administrative_organization	preserve	ぎょうせい	行政	きかん	機関	しけん	試験	期間
test_period	preserve	しけん	試験	きかん	期間	ぎょうせい	行政	機関
document_certification	improve	しょるい	書類	こうしょう	公証	かかく	価格	交渉
price_negotiation	preserve	かかく	価格	こうしょう	交渉	しょるい	書類	公証
food_manufacturing	improve	しょくひん	食品	せいか	製菓	けんきゅう	研究	成果
research_result	preserve	けんきゅう	研究	せいか	成果	しょくひん	食品	製菓
symmetrical_shape	improve	ずけい	図形	たいしょう	対称	しょり	処理	対象
processing_target	preserve	しょり	処理	たいしょう	対象	ずけい	図形	対称
road_construction	improve	どうろ	道路	しこう	施工	ろんり	論理	思考
logical_thinking	preserve	ろんり	論理	しこう	思考	どうろ	道路	施工
question_answer	preserve	しつもん	質問	かいとう	回答	れいとう	冷凍	解凍
frozen_thaw	improve	れいとう	冷凍	かいとう	解凍	しつもん	質問	回答
university_major	improve	だいがく	大学	せんこう	専攻	てじゅん	手順	先行
procedure_precedence	improve	てじゅん	手順	せんこう	先行	だいがく	大学	専攻
screening_selection	preserve	しんさ	審査	せんこう	選考	だいがく	大学	専攻
document_proofreading	improve	ぶんしょ	文書	こうせい	校正	ぶひん	部品	構成
component_structure	preserve	ぶひん	部品	こうせい	構成	ぶんしょ	文書	校正
friend_introduction	preserve	ゆうじん	友人	しょうかい	紹介	ばんごう	番号	照会
reference_inquiry	improve	ばんごう	番号	しょうかい	照会	ゆうじん	友人	紹介
contract_guarantee	preserve	けいやく	契約	ほしょう	保証	せいかつ	生活	保障
life_coverage	improve	せいかつ	生活	ほしょう	保障	けいやく	契約	保証
damage_compensation	improve	そんがい	損害	ほしょう	補償	けいやく	契約	保証
match_victory	improve	しあい	試合	かんしょう	完勝	つうしん	通信	干渉
signal_interference	improve	つうしん	通信	かんしょう	干渉	しあい	試合	完勝
art_appreciation	preserve	げいじゅつ	芸術	かんしょう	鑑賞	つうしん	通信	干渉
room_lighting	improve	へや	部屋	しょうめい	照明	ほんにん	本人	証明
identity_proof	preserve	ほんにん	本人	しょうめい	証明	へや	部屋	照明
