# raw_input	reason
nihon	exact dictionary reading
kanji	exact dictionary reading
kannji	composer already yields the intended reading
nihonngo	composer already yields the intended reading
dennsha	composer already yields the intended reading
annnai	composer already yields the intended reading
konnnichiha	composer already yields the intended reading
shinnbun	composer already yields the intended reading
nihongo	exact dictionary reading
densha	exact dictionary reading
kyouto	exact dictionary reading
kaisha	exact dictionary reading
sensei	exact dictionary reading
gakusei	exact dictionary reading
jikan	exact dictionary reading
denwa	exact dictionary reading
shinbun	exact dictionary reading
taberu	exact dictionary reading
kan	short input
zzzzzz	unsupported edit
qwrty	unsupported missing-vowel edit
plmko	unsupported missing-vowel edit
zxcvb	unsupported missing-vowel edit
asdfg	unsupported missing-consonant edit
mnbvc	unsupported missing-consonant edit
qazws	unsupported missing-consonant edit
plmok	unsupported missing-consonant edit
aioeo	unsupported missing-consonant edit
tomodachi	exact dictionary reading
kuruma	exact dictionary reading
ongaku	exact dictionary reading
kazoku	exact dictionary reading
ryouri	exact dictionary reading
byouin	exact dictionary reading
shashin	exact dictionary reading
yasumi	exact dictionary reading
daigaku	exact dictionary reading
tabemono	exact dictionary reading
norimono	exact dictionary reading
hajimete	exact dictionary reading
zasshi	exact dictionary reading
nippon	exact dictionary reading
shuppatsu	exact dictionary reading
